new_id,fid,score
1818,22,1.0
1754,23,1.0
1927,23,1.0
742,24,1.0
1085,24,4.0
1212,24,3.0
1339,24,2.0
1567,24,3.0
1605,24,1.0
1618,24,4.0
1636,24,3.0
1681,24,2.0
1841,24,2.0
1921,24,1.0
1936,24,3.0
742,25,4.0
1123,25,1.0
1376,25,5.0
1549,25,2.0
1618,25,5.0
1818,25,2.0
1841,25,4.0
1855,25,3.0
1936,25,4.0
1754,26,1.0
132,27,1.0
742,27,5.0
894,27,1.0
1494,27,2.0
1585,27,1.0
1696,27,1.0
1818,27,5.0
1862,27,5.0
1903,27,1.0
1952,27,1.0
132,28,1.0
1013,28,5.0
1494,28,3.0
742,29,4.0
1104,29,5.0
1188,29,3.0
1339,29,5.0
1364,29,5.0
1666,29,1.0
1685,29,3.0
1754,29,4.0
1764,29,1.0
1821,29,4.0
1906,29,4.0
1589,30,1.0
1841,30,1.0
1936,30,1.0
742,31,3.0
1487,31,2.0
1710,31,2.0
1829,31,1.0
1936,31,1.0
58,32,1.0
742,33,1.0
1339,33,1.0
742,34,1.0
1354,35,1.0
1774,35,1.0
1585,36,1.0
1696,36,1.0
1862,36,4.0
1494,37,1.0
1818,37,4.0
176,38,2.0
742,38,4.0
1821,38,1.0
898,39,1.0
1212,39,4.0
1603,39,1.0
1813,39,1.0
1354,40,1.0
1494,40,1.0
1828,40,1.0
1,41,6.0
2,41,5.0
3,41,6.0
4,41,6.0
5,41,6.0
6,41,6.0
7,41,4.0
8,41,5.0
10,41,4.0
11,41,5.0
12,41,5.0
15,41,5.0
16,41,5.0
18,41,5.0
20,41,6.0
24,41,4.0
27,41,6.0
28,41,6.0
31,41,5.0
34,41,5.0
36,41,4.0
37,41,4.0
38,41,4.0
40,41,6.0
41,41,4.0
43,41,6.0
48,41,5.0
49,41,5.0
51,41,5.0
53,41,6.0
54,41,6.0
55,41,6.0
58,41,5.0
59,41,5.0
60,41,6.0
61,41,5.0
64,41,5.0
65,41,5.0
68,41,5.0
69,41,5.0
70,41,6.0
73,41,5.0
75,41,5.0
76,41,5.0
77,41,4.0
80,41,6.0
81,41,4.0
82,41,5.0
86,41,5.0
90,41,6.0
93,41,6.0
94,41,5.0
95,41,5.0
100,41,6.0
102,41,3.0
103,41,5.0
104,41,5.0
107,41,4.0
110,41,5.0
111,41,4.0
112,41,5.0
115,41,6.0
118,41,4.0
120,41,3.0
121,41,5.0
123,41,6.0
132,41,6.0
133,41,6.0
134,41,6.0
135,41,6.0
136,41,6.0
141,41,5.0
145,41,6.0
147,41,6.0
148,41,5.0
149,41,6.0
150,41,6.0
151,41,4.0
153,41,5.0
154,41,5.0
155,41,6.0
157,41,5.0
158,41,5.0
161,41,4.0
163,41,5.0
164,41,5.0
165,41,5.0
167,41,6.0
168,41,5.0
171,41,4.0
174,41,5.0
175,41,5.0
177,41,3.0
178,41,6.0
179,41,6.0
182,41,6.0
183,41,5.0
184,41,3.0
185,41,3.0
186,41,5.0
187,41,1.0
189,41,6.0
190,41,4.0
192,41,4.0
196,41,3.0
198,41,4.0
199,41,6.0
201,41,5.0
202,41,5.0
204,41,6.0
205,41,5.0
206,41,5.0
207,41,6.0
208,41,4.0
210,41,5.0
212,41,6.0
213,41,4.0
216,41,6.0
219,41,5.0
220,41,5.0
221,41,3.0
222,41,4.0
225,41,3.0
226,41,2.0
227,41,4.0
228,41,4.0
231,41,2.0
232,41,4.0
233,41,5.0
234,41,5.0
235,41,5.0
236,41,5.0
237,41,5.0
238,41,2.0
239,41,5.0
240,41,4.0
242,41,5.0
243,41,5.0
245,41,6.0
246,41,5.0
247,41,6.0
248,41,5.0
250,41,5.0
253,41,5.0
254,41,5.0
255,41,5.0
257,41,6.0
259,41,1.0
260,41,5.0
261,41,5.0
262,41,6.0
263,41,5.0
265,41,6.0
268,41,5.0
270,41,5.0
271,41,6.0
272,41,6.0
273,41,5.0
274,41,2.0
276,41,5.0
277,41,5.0
278,41,5.0
279,41,5.0
281,41,2.0
282,41,4.0
283,41,5.0
286,41,5.0
287,41,2.0
288,41,4.0
289,41,6.0
292,41,5.0
293,41,2.0
294,41,5.0
296,41,5.0
300,41,4.0
301,41,5.0
303,41,3.0
304,41,6.0
305,41,5.0
306,41,6.0
308,41,5.0
309,41,4.0
312,41,6.0
313,41,6.0
314,41,4.0
315,41,4.0
316,41,2.0
317,41,6.0
318,41,2.0
319,41,5.0
320,41,5.0
321,41,5.0
324,41,5.0
325,41,5.0
328,41,5.0
329,41,6.0
332,41,6.0
335,41,4.0
337,41,6.0
338,41,4.0
340,41,4.0
341,41,6.0
342,41,6.0
343,41,4.0
345,41,5.0
348,41,4.0
349,41,6.0
352,41,6.0
354,41,5.0
355,41,6.0
356,41,6.0
357,41,4.0
358,41,3.0
359,41,4.0
362,41,5.0
363,41,1.0
364,41,3.0
365,41,6.0
367,41,6.0
369,41,6.0
370,41,4.0
371,41,6.0
373,41,2.0
376,41,5.0
381,41,4.0
383,41,4.0
386,41,5.0
389,41,6.0
393,41,6.0
394,41,3.0
398,41,6.0
404,41,5.0
407,41,6.0
409,41,5.0
410,41,6.0
411,41,6.0
412,41,5.0
414,41,6.0
415,41,5.0
416,41,5.0
417,41,5.0
420,41,4.0
421,41,4.0
422,41,6.0
423,41,5.0
424,41,5.0
425,41,6.0
427,41,6.0
429,41,6.0
434,41,5.0
435,41,4.0
437,41,6.0
440,41,5.0
443,41,5.0
445,41,3.0
447,41,3.0
452,41,3.0
453,41,5.0
455,41,2.0
456,41,3.0
457,41,3.0
458,41,3.0
459,41,4.0
460,41,5.0
461,41,3.0
463,41,3.0
465,41,5.0
467,41,5.0
468,41,5.0
469,41,5.0
470,41,4.0
473,41,5.0
477,41,5.0
482,41,5.0
483,41,3.0
485,41,3.0
486,41,3.0
488,41,5.0
491,41,4.0
492,41,3.0
493,41,5.0
496,41,5.0
497,41,5.0
498,41,3.0
499,41,4.0
500,41,1.0
501,41,5.0
507,41,4.0
508,41,5.0
510,41,5.0
511,41,5.0
517,41,5.0
518,41,4.0
519,41,4.0
521,41,6.0
522,41,6.0
526,41,4.0
527,41,5.0
530,41,4.0
531,41,5.0
532,41,5.0
533,41,4.0
534,41,5.0
538,41,6.0
539,41,5.0
541,41,4.0
542,41,5.0
544,41,5.0
547,41,5.0
548,41,4.0
550,41,5.0
552,41,5.0
554,41,5.0
556,41,4.0
559,41,5.0
560,41,5.0
561,41,5.0
562,41,6.0
564,41,5.0
565,41,5.0
567,41,5.0
568,41,5.0
570,41,5.0
571,41,6.0
573,41,5.0
576,41,5.0
577,41,6.0
580,41,5.0
584,41,6.0
591,41,3.0
592,41,5.0
593,41,5.0
594,41,4.0
595,41,5.0
596,41,3.0
598,41,6.0
600,41,5.0
603,41,4.0
605,41,4.0
606,41,5.0
607,41,3.0
608,41,6.0
609,41,5.0
610,41,2.0
611,41,2.0
612,41,3.0
613,41,4.0
615,41,6.0
616,41,6.0
617,41,3.0
618,41,2.0
619,41,5.0
621,41,6.0
622,41,6.0
625,41,4.0
626,41,4.0
628,41,5.0
632,41,6.0
633,41,4.0
634,41,4.0
636,41,6.0
638,41,5.0
640,41,5.0
641,41,5.0
643,41,2.0
644,41,6.0
645,41,2.0
649,41,6.0
651,41,6.0
653,41,6.0
654,41,5.0
655,41,4.0
657,41,6.0
658,41,5.0
662,41,5.0
664,41,5.0
665,41,5.0
672,41,6.0
675,41,6.0
676,41,5.0
678,41,4.0
679,41,3.0
681,41,4.0
683,41,5.0
685,41,5.0
689,41,6.0
694,41,3.0
697,41,6.0
700,41,4.0
701,41,6.0
702,41,5.0
707,41,5.0
708,41,5.0
711,41,3.0
714,41,4.0
715,41,5.0
716,41,3.0
720,41,5.0
722,41,5.0
723,41,5.0
726,41,5.0
728,41,5.0
730,41,5.0
734,41,6.0
735,41,6.0
737,41,5.0
740,41,5.0
741,41,5.0
742,41,5.0
743,41,6.0
745,41,5.0
746,41,5.0
750,41,4.0
752,41,5.0
757,41,5.0
760,41,5.0
763,41,4.0
765,41,5.0
769,41,6.0
770,41,5.0
773,41,6.0
775,41,5.0
777,41,6.0
778,41,5.0
779,41,5.0
780,41,5.0
783,41,6.0
784,41,3.0
785,41,5.0
792,41,4.0
795,41,3.0
799,41,5.0
805,41,5.0
807,41,5.0
808,41,5.0
810,41,4.0
812,41,5.0
813,41,5.0
814,41,4.0
815,41,4.0
819,41,5.0
820,41,5.0
821,41,5.0
823,41,4.0
825,41,5.0
826,41,5.0
828,41,4.0
830,41,2.0
832,41,5.0
833,41,5.0
834,41,6.0
835,41,2.0
836,41,5.0
837,41,6.0
838,41,5.0
841,41,6.0
842,41,6.0
844,41,6.0
845,41,6.0
846,41,5.0
847,41,5.0
848,41,6.0
849,41,6.0
850,41,5.0
851,41,5.0
852,41,4.0
853,41,6.0
854,41,4.0
855,41,6.0
863,41,5.0
865,41,3.0
866,41,5.0
869,41,4.0
871,41,5.0
873,41,6.0
877,41,5.0
880,41,2.0
882,41,5.0
883,41,5.0
889,41,6.0
890,41,5.0
899,41,6.0
900,41,5.0
903,41,5.0
904,41,5.0
905,41,5.0
907,41,5.0
908,41,2.0
909,41,2.0
910,41,6.0
914,41,5.0
915,41,5.0
919,41,6.0
922,41,4.0
924,41,6.0
925,41,5.0
927,41,5.0
928,41,5.0
931,41,4.0
937,41,4.0
940,41,6.0
941,41,5.0
942,41,5.0
944,41,2.0
946,41,4.0
947,41,6.0
948,41,5.0
949,41,4.0
953,41,3.0
956,41,5.0
957,41,6.0
969,41,6.0
974,41,5.0
976,41,3.0
988,41,5.0
989,41,5.0
991,41,5.0
992,41,3.0
993,41,3.0
996,41,5.0
997,41,6.0
998,41,5.0
999,41,5.0
1000,41,5.0
1001,41,6.0
1002,41,5.0
1006,41,4.0
1007,41,5.0
1008,41,6.0
1009,41,6.0
1012,41,6.0
1013,41,5.0
1017,41,5.0
1018,41,5.0
1019,41,6.0
1022,41,4.0
1024,41,4.0
1027,41,6.0
1028,41,3.0
1029,41,6.0
1031,41,4.0
1032,41,4.0
1033,41,5.0
1036,41,4.0
1037,41,4.0
1040,41,6.0
1041,41,5.0
1043,41,4.0
1044,41,5.0
1046,41,6.0
1047,41,5.0
1049,41,5.0
1052,41,5.0
1053,41,5.0
1056,41,5.0
1057,41,5.0
1062,41,6.0
1063,41,6.0
1065,41,6.0
1074,41,6.0
1080,41,5.0
1083,41,6.0
1084,41,6.0
1085,41,6.0
1086,41,5.0
1088,41,4.0
1089,41,5.0
1092,41,6.0
1094,41,2.0
1095,41,5.0
1097,41,5.0
1100,41,5.0
1101,41,5.0
1102,41,5.0
1103,41,4.0
1106,41,5.0
1107,41,5.0
1108,41,2.0
1109,41,4.0
1110,41,6.0
1111,41,5.0
1114,41,6.0
1118,41,6.0
1119,41,2.0
1120,41,3.0
1121,41,6.0
1122,41,5.0
1123,41,6.0
1124,41,5.0
1126,41,5.0
1127,41,5.0
1129,41,6.0
1134,41,5.0
1135,41,5.0
1136,41,5.0
1139,41,5.0
1145,41,6.0
1146,41,4.0
1147,41,5.0
1149,41,6.0
1150,41,5.0
1152,41,5.0
1153,41,6.0
1156,41,5.0
1158,41,5.0
1160,41,5.0
1161,41,4.0
1162,41,6.0
1163,41,5.0
1164,41,5.0
1166,41,5.0
1169,41,5.0
1172,41,4.0
1175,41,5.0
1176,41,5.0
1179,41,5.0
1181,41,4.0
1183,41,6.0
1184,41,5.0
1186,41,5.0
1189,41,6.0
1190,41,5.0
1192,41,5.0
1194,41,4.0
1196,41,6.0
1198,41,6.0
1199,41,6.0
1203,41,5.0
1206,41,5.0
1207,41,5.0
1211,41,6.0
1217,41,4.0
1219,41,4.0
1220,41,4.0
1221,41,5.0
1222,41,4.0
1223,41,5.0
1224,41,5.0
1225,41,5.0
1231,41,5.0
1233,41,5.0
1235,41,5.0
1238,41,4.0
1239,41,5.0
1243,41,5.0
1244,41,5.0
1246,41,5.0
1247,41,3.0
1248,41,5.0
1251,41,5.0
1256,41,6.0
1258,41,3.0
1259,41,5.0
1261,41,5.0
1263,41,2.0
1267,41,3.0
1268,41,5.0
1269,41,6.0
1270,41,6.0
1273,41,3.0
1275,41,6.0
1278,41,5.0
1281,41,6.0
1282,41,5.0
1283,41,6.0
1292,41,5.0
1294,41,4.0
1296,41,5.0
1299,41,5.0
1302,41,6.0
1303,41,5.0
1307,41,5.0
1311,41,5.0
1312,41,5.0
1316,41,3.0
1323,41,3.0
1326,41,5.0
1327,41,4.0
1328,41,5.0
1329,41,6.0
1331,41,5.0
1332,41,6.0
1333,41,6.0
1334,41,5.0
1335,41,3.0
1337,41,5.0
1338,41,2.0
1341,41,6.0
1346,41,5.0
1351,41,5.0
1353,41,6.0
1354,41,5.0
1355,41,4.0
1357,41,6.0
1361,41,6.0
1364,41,5.0
1367,41,5.0
1373,41,4.0
1376,41,6.0
1381,41,6.0
1382,41,5.0
1383,41,5.0
1384,41,4.0
1387,41,5.0
1389,41,6.0
1392,41,4.0
1396,41,5.0
1400,41,5.0
1402,41,5.0
1407,41,5.0
1409,41,5.0
1416,41,2.0
1417,41,6.0
1418,41,6.0
1421,41,4.0
1423,41,5.0
1426,41,6.0
1428,41,5.0
1431,41,4.0
1432,41,4.0
1433,41,5.0
1439,41,5.0
1441,41,5.0
1442,41,5.0
1443,41,5.0
1444,41,6.0
1445,41,5.0
1447,41,5.0
1448,41,6.0
1449,41,5.0
1452,41,5.0
1453,41,5.0
1454,41,5.0
1455,41,3.0
1461,41,5.0
1464,41,3.0
1465,41,3.0
1466,41,5.0
1472,41,5.0
1473,41,5.0
1475,41,4.0
1476,41,4.0
1477,41,5.0
1481,41,6.0
1482,41,5.0
1485,41,5.0
1489,41,5.0
1493,41,5.0
1494,41,5.0
1502,41,6.0
1503,41,4.0
1504,41,4.0
1505,41,4.0
1508,41,5.0
1509,41,5.0
1511,41,6.0
1512,41,6.0
1514,41,4.0
1515,41,4.0
1516,41,5.0
1521,41,5.0
1523,41,5.0
1530,41,5.0
1532,41,5.0
1533,41,5.0
1535,41,6.0
1538,41,5.0
1547,41,5.0
1548,41,6.0
1549,41,5.0
1550,41,4.0
1551,41,3.0
1552,41,4.0
1553,41,5.0
1558,41,5.0
1560,41,5.0
1562,41,3.0
1564,41,6.0
1565,41,5.0
1566,41,6.0
1567,41,6.0
1571,41,5.0
1572,41,4.0
1573,41,5.0
1574,41,5.0
1575,41,5.0
1578,41,5.0
1579,41,5.0
1581,41,5.0
1584,41,5.0
1585,41,4.0
1587,41,4.0
1588,41,4.0
1592,41,4.0
1593,41,5.0
1594,41,6.0
1596,41,5.0
1597,41,4.0
1599,41,5.0
1600,41,5.0
1601,41,4.0
1604,41,5.0
1605,41,6.0
1611,41,3.0
1613,41,5.0
1614,41,6.0
1615,41,5.0
1617,41,6.0
1621,41,5.0
1622,41,1.0
1625,41,5.0
1630,41,4.0
1635,41,3.0
1637,41,5.0
1638,41,5.0
1640,41,5.0
1643,41,4.0
1651,41,4.0
1652,41,6.0
1655,41,6.0
1656,41,5.0
1658,41,5.0
1660,41,3.0
1661,41,5.0
1663,41,3.0
1664,41,5.0
1665,41,6.0
1666,41,4.0
1668,41,4.0
1669,41,6.0
1670,41,5.0
1671,41,5.0
1673,41,5.0
1676,41,6.0
1679,41,6.0
1682,41,6.0
1684,41,5.0
1688,41,3.0
1689,41,5.0
1691,41,5.0
1692,41,5.0
1694,41,5.0
1695,41,5.0
1696,41,3.0
1697,41,5.0
1708,41,5.0
1714,41,6.0
1716,41,5.0
1718,41,5.0
1721,41,5.0
1722,41,5.0
1723,41,6.0
1724,41,5.0
1726,41,5.0
1727,41,5.0
1728,41,5.0
1729,41,5.0
1735,41,4.0
1736,41,5.0
1738,41,6.0
1747,41,5.0
1752,41,5.0
1756,41,4.0
1757,41,6.0
1758,41,5.0
1768,41,4.0
1769,41,4.0
1771,41,5.0
1772,41,6.0
1774,41,5.0
1776,41,4.0
1777,41,5.0
1779,41,6.0
1783,41,4.0
1784,41,5.0
1785,41,5.0
1787,41,5.0
1790,41,5.0
1791,41,6.0
1792,41,5.0
1802,41,5.0
1803,41,4.0
1810,41,5.0
1813,41,4.0
1815,41,5.0
1819,41,2.0
1820,41,6.0
1821,41,4.0
1827,41,4.0
1828,41,5.0
1833,41,5.0
1834,41,6.0
1835,41,5.0
1836,41,4.0
1844,41,5.0
1847,41,5.0
1851,41,5.0
1855,41,5.0
1862,41,5.0
1870,41,5.0
1873,41,5.0
1876,41,5.0
1877,41,6.0
1881,41,5.0
1883,41,4.0
1886,41,5.0
1887,41,6.0
1890,41,4.0
1891,41,5.0
1893,41,5.0
1895,41,4.0
1897,41,6.0
1901,41,5.0
1906,41,5.0
1907,41,5.0
1910,41,6.0
1911,41,5.0
1914,41,6.0
1919,41,5.0
1922,41,6.0
1943,41,5.0
1945,41,5.0
1948,41,5.0
1949,41,5.0
1,42,5.0
2,42,6.0
3,42,6.0
7,42,4.0
8,42,2.0
10,42,2.0
11,42,2.0
16,42,3.0
21,42,6.0
24,42,2.0
27,42,6.0
28,42,6.0
31,42,5.0
36,42,2.0
38,42,2.0
41,42,2.0
56,42,4.0
58,42,4.0
60,42,4.0
61,42,5.0
65,42,5.0
68,42,3.0
70,42,4.0
76,42,3.0
77,42,2.0
81,42,3.0
90,42,6.0
94,42,5.0
95,42,1.0
102,42,5.0
103,42,2.0
110,42,5.0
111,42,6.0
135,42,6.0
140,42,1.0
149,42,5.0
151,42,2.0
154,42,2.0
161,42,2.0
164,42,3.0
165,42,3.0
167,42,5.0
168,42,3.0
171,42,4.0
173,42,2.0
174,42,5.0
176,42,6.0
177,42,3.0
183,42,2.0
184,42,2.0
185,42,2.0
186,42,4.0
187,42,2.0
190,42,5.0
195,42,6.0
196,42,2.0
198,42,2.0
199,42,5.0
204,42,6.0
205,42,2.0
206,42,3.0
207,42,6.0
208,42,6.0
212,42,5.0
214,42,2.0
219,42,2.0
220,42,3.0
222,42,4.0
225,42,2.0
226,42,2.0
228,42,1.0
231,42,2.0
232,42,2.0
233,42,6.0
235,42,5.0
236,42,6.0
238,42,2.0
239,42,6.0
240,42,2.0
242,42,6.0
245,42,6.0
247,42,4.0
248,42,2.0
254,42,2.0
255,42,5.0
259,42,1.0
261,42,5.0
262,42,6.0
265,42,6.0
268,42,5.0
271,42,6.0
273,42,5.0
274,42,2.0
277,42,3.0
281,42,1.0
282,42,3.0
283,42,4.0
286,42,5.0
287,42,2.0
288,42,3.0
289,42,6.0
292,42,4.0
293,42,2.0
294,42,3.0
295,42,6.0
296,42,5.0
300,42,2.0
301,42,6.0
303,42,1.0
304,42,6.0
305,42,6.0
308,42,3.0
309,42,2.0
310,42,6.0
313,42,6.0
314,42,6.0
316,42,1.0
318,42,1.0
319,42,4.0
320,42,2.0
321,42,4.0
324,42,2.0
325,42,6.0
327,42,5.0
329,42,6.0
334,42,6.0
337,42,5.0
338,42,2.0
340,42,2.0
349,42,4.0
353,42,6.0
354,42,4.0
355,42,6.0
357,42,6.0
358,42,2.0
359,42,2.0
360,42,5.0
363,42,2.0
364,42,2.0
368,42,6.0
371,42,6.0
373,42,1.0
375,42,6.0
378,42,4.0
380,42,5.0
384,42,6.0
391,42,6.0
392,42,6.0
393,42,5.0
394,42,6.0
396,42,5.0
400,42,5.0
404,42,5.0
409,42,6.0
413,42,2.0
414,42,5.0
417,42,2.0
420,42,2.0
421,42,2.0
423,42,6.0
424,42,4.0
426,42,5.0
428,42,6.0
434,42,6.0
435,42,5.0
437,42,6.0
455,42,3.0
456,42,1.0
457,42,1.0
458,42,1.0
459,42,2.0
461,42,2.0
467,42,3.0
468,42,2.0
469,42,3.0
470,42,2.0
483,42,2.0
484,42,1.0
486,42,1.0
488,42,1.0
490,42,1.0
492,42,1.0
493,42,2.0
495,42,1.0
497,42,4.0
498,42,3.0
499,42,2.0
500,42,1.0
503,42,3.0
508,42,2.0
511,42,3.0
513,42,6.0
517,42,2.0
518,42,2.0
519,42,3.0
522,42,5.0
527,42,2.0
529,42,2.0
530,42,2.0
533,42,1.0
534,42,3.0
538,42,3.0
542,42,3.0
544,42,1.0
545,42,2.0
547,42,5.0
548,42,3.0
554,42,3.0
556,42,3.0
559,42,4.0
560,42,4.0
561,42,3.0
562,42,5.0
564,42,6.0
565,42,3.0
571,42,6.0
573,42,2.0
577,42,5.0
580,42,6.0
583,42,3.0
584,42,6.0
591,42,2.0
592,42,3.0
593,42,2.0
594,42,3.0
595,42,3.0
596,42,2.0
600,42,2.0
603,42,2.0
607,42,1.0
609,42,6.0
610,42,2.0
611,42,2.0
612,42,2.0
613,42,6.0
615,42,6.0
617,42,5.0
618,42,1.0
619,42,6.0
621,42,6.0
625,42,2.0
626,42,3.0
628,42,5.0
630,42,6.0
634,42,2.0
636,42,6.0
640,42,2.0
643,42,2.0
645,42,2.0
647,42,6.0
649,42,6.0
651,42,5.0
652,42,2.0
653,42,6.0
655,42,3.0
656,42,5.0
657,42,5.0
658,42,4.0
660,42,6.0
662,42,3.0
665,42,2.0
667,42,4.0
669,42,6.0
675,42,4.0
679,42,2.0
680,42,3.0
682,42,5.0
683,42,3.0
685,42,4.0
686,42,6.0
690,42,1.0
694,42,2.0
700,42,2.0
705,42,5.0
707,42,5.0
710,42,6.0
712,42,4.0
718,42,6.0
719,42,2.0
720,42,5.0
722,42,6.0
723,42,4.0
726,42,5.0
728,42,5.0
730,42,5.0
731,42,6.0
740,42,2.0
742,42,4.0
744,42,6.0
745,42,5.0
746,42,6.0
750,42,2.0
753,42,5.0
760,42,4.0
763,42,2.0
765,42,1.0
770,42,5.0
772,42,4.0
773,42,5.0
775,42,4.0
778,42,3.0
779,42,3.0
784,42,2.0
785,42,4.0
792,42,2.0
795,42,2.0
799,42,3.0
800,42,6.0
807,42,5.0
813,42,3.0
814,42,3.0
820,42,6.0
821,42,6.0
823,42,3.0
826,42,4.0
830,42,2.0
835,42,1.0
845,42,4.0
851,42,6.0
853,42,3.0
854,42,3.0
857,42,6.0
861,42,5.0
865,42,2.0
866,42,3.0
869,42,2.0
871,42,3.0
874,42,5.0
877,42,2.0
879,42,6.0
880,42,2.0
882,42,3.0
883,42,3.0
893,42,5.0
900,42,5.0
903,42,5.0
905,42,5.0
906,42,5.0
907,42,3.0
908,42,2.0
909,42,1.0
911,42,2.0
913,42,6.0
915,42,2.0
916,42,6.0
920,42,6.0
922,42,2.0
925,42,3.0
931,42,1.0
932,42,6.0
936,42,6.0
939,42,1.0
940,42,5.0
942,42,5.0
943,42,6.0
944,42,2.0
949,42,3.0
952,42,6.0
953,42,3.0
975,42,6.0
976,42,2.0
981,42,4.0
983,42,3.0
986,42,4.0
987,42,6.0
992,42,1.0
993,42,1.0
996,42,6.0
998,42,3.0
999,42,2.0
1000,42,4.0
1003,42,6.0
1004,42,5.0
1007,42,2.0
1011,42,6.0
1016,42,6.0
1024,42,4.0
1026,42,6.0
1028,42,1.0
1030,42,5.0
1031,42,2.0
1032,42,2.0
1033,42,3.0
1034,42,6.0
1037,42,2.0
1038,42,6.0
1040,42,5.0
1041,42,4.0
1043,42,2.0
1046,42,6.0
1047,42,2.0
1050,42,5.0
1052,42,3.0
1053,42,2.0
1056,42,2.0
1057,42,6.0
1060,42,5.0
1062,42,6.0
1063,42,6.0
1065,42,6.0
1069,42,4.0
1073,42,5.0
1074,42,6.0
1075,42,6.0
1077,42,6.0
1080,42,2.0
1081,42,5.0
1082,42,6.0
1083,42,6.0
1084,42,6.0
1085,42,6.0
1086,42,6.0
1088,42,2.0
1089,42,6.0
1092,42,6.0
1094,42,5.0
1096,42,6.0
1098,42,5.0
1108,42,2.0
1109,42,2.0
1110,42,6.0
1111,42,6.0
1112,42,6.0
1115,42,6.0
1118,42,5.0
1119,42,2.0
1120,42,3.0
1121,42,6.0
1123,42,5.0
1124,42,5.0
1125,42,6.0
1127,42,6.0
1129,42,6.0
1130,42,5.0
1131,42,5.0
1134,42,3.0
1139,42,4.0
1143,42,6.0
1146,42,4.0
1149,42,6.0
1150,42,3.0
1152,42,3.0
1153,42,2.0
1154,42,6.0
1156,42,4.0
1160,42,4.0
1161,42,2.0
1162,42,6.0
1163,42,4.0
1165,42,6.0
1166,42,3.0
1169,42,5.0
1175,42,4.0
1176,42,5.0
1179,42,4.0
1180,42,4.0
1181,42,4.0
1184,42,4.0
1189,42,5.0
1192,42,2.0
1194,42,2.0
1196,42,4.0
1199,42,6.0
1203,42,5.0
1209,42,6.0
1216,42,5.0
1217,42,2.0
1219,42,2.0
1220,42,2.0
1222,42,2.0
1223,42,5.0
1224,42,6.0
1225,42,5.0
1227,42,3.0
1228,42,3.0
1230,42,4.0
1231,42,6.0
1235,42,6.0
1238,42,2.0
1239,42,4.0
1240,42,5.0
1241,42,5.0
1246,42,5.0
1247,42,2.0
1250,42,6.0
1256,42,6.0
1257,42,6.0
1258,42,2.0
1259,42,2.0
1260,42,5.0
1263,42,2.0
1265,42,4.0
1267,42,2.0
1269,42,6.0
1273,42,2.0
1277,42,2.0
1282,42,5.0
1283,42,4.0
1287,42,6.0
1296,42,6.0
1298,42,5.0
1305,42,5.0
1309,42,6.0
1311,42,3.0
1313,42,5.0
1314,42,5.0
1318,42,2.0
1320,42,2.0
1323,42,2.0
1327,42,2.0
1328,42,6.0
1334,42,5.0
1335,42,1.0
1337,42,5.0
1338,42,2.0
1339,42,3.0
1340,42,5.0
1341,42,5.0
1345,42,6.0
1346,42,6.0
1349,42,4.0
1351,42,5.0
1354,42,2.0
1357,42,6.0
1358,42,3.0
1364,42,5.0
1373,42,3.0
1376,42,6.0
1379,42,5.0
1382,42,3.0
1383,42,3.0
1385,42,4.0
1395,42,5.0
1397,42,2.0
1400,42,5.0
1406,42,2.0
1412,42,5.0
